file_path,title,subject,level,type,content_preview
public/intelligence-hub.html,🧠 Central Intelligence Hub - Te Kete Ako,English,All Levels,lesson,"🧠 Central Intelligence Hub - Te Kete Ako 🧠 CENTRAL INTELLIGENCE HUB The collective consciousness of Te Kete Ako - where GraphRAG, AI agents, analytics, and institutional memory converge into one unified intelligence system 🌟 Collective Intelligence Status 7 intelligence layers working in harmony, powered by 242,079 relationships and 513 memory entries ⏳ Loading... 🧠 Talk to AI Assistant 📊 View Analytics 🗺️ Intelligence Map ⚡ Real-Time Intelligence Capabilities 🗺️ Intelligence Architecture"
public/featured-by-relationship.html,Browse by Relationship Type | Te Kete Ako,Digital Technologies,All Levels,lesson,"Browse by Relationship Type | Te Kete Ako ""Mā te whakawhiti kōrero ka mōhio"" Through sharing dialogue we understand — Knowledge connects through relationships 🔗 Browse by Connection Type Discover how our 25,861 resources connect Loading relationship types..."
public/graphrag-pathway-visualizer.html,Pathway Visualizer | GraphRAG | Te Kete Ako,Digital Technologies,All Levels,lesson,"Pathway Visualizer | GraphRAG | Te Kete Ako 🗺️ Pathway Visualizer Interactive visualization of 849 prerequisite learning chains Pathway Type: Prerequisites (849) Progressions (600) Skills (401) Learning (13) Subject Filter: All Subjects Science Mathematics English Digital Technologies Max Nodes: 30 High Quality (90+) Good Quality (80-89) Cultural Context 🗺️ Interactive Learning Pathway Map Click ""Refresh Visualization"" to load the pathway network Selected Resource 📖 How to Use This Visualizer 👆 "
public/learning-pathways-dashboard.html,Learning Pathways Dashboard | Te Kete Ako,Mathematics,All Levels,lesson,"Learning Pathways Dashboard | Te Kete Ako ""He ara rere kē atu tētahi ki tētahi"" Each pathway leads to another — Learning progressions guide students from foundation to mastery 🗺️ Learning Pathways Dashboard Discover complete learning progressions powered by GraphRAG 498 Lessons 📊 2,051 Prerequisite Links 🏆 3 Perfect Chains 🏆 Perfect Learning Chains Complete lesson progressions with 100% confidence prerequisite relationships 💻 18 LESSONS Y8 Digital Kaitiakitanga Complete digital citizenship progr"
public/massive-collection-hero.html,Massive Collection Hero,Digital Technologies,All Levels,lesson,"Massive Collection Hero 🚀 COMPLETE LIBRARY 11,839 Resources at Your Fingertips 📚 5,765 Lessons 📄 3,744 Handouts 🎮 1,179 Interactive 📘 880 Unit Plans ✨ 96.8% quality verified | 🌺 98.2% culturally integrated | 🧠 4,072 connections mapped"
public/handouts-complete.html,"All Handouts (1,000) | Te Kete Ako",Mathematics,Year 9,handout,"All Handouts (1,000) | Te Kete Ako 📄 All Handouts (1,000) Printable resources for students Arts (1 handouts) Visual Arts Analysis with Cultural Context Careers (1 handouts) Workplace Readiness with Cultural Competency Cross-curricular (143 handouts) AI Art Ethics Reading Comprehension AI Ethics and Bias | Te Kete Ako AI Hub | Te Kete Ako AI Impact Reading Comprehension | Mangakōtukutuku College AI Teacher Dashboard | Te Kete Ako Algebraic Thinking in Traditional Māori Games | Te Kete Ako Analysi"
public/learning-pathway-navigator.html,Learning Pathway Navigator | Te Kete Ako,Mathematics,All Levels,lesson,Learning Pathway Navigator | Te Kete Ako 🗺️ Learning Pathway Navigator Build visual learning journeys using GraphRAG-discovered connections Start Your Journey: Focus: All Subjects Science Mathematics English Social Studies Cultural Integration ⚡ Quick Start Templates: Y7 Science: Ecosystems Y8 Math: Algebra Y9 Social: Treaty Studies Cultural STEM Integration 🗺️ Start Building Your Learning Pathway Search for a resource above or choose a quick start template 🔮 GraphRAG Suggestions: Next Steps Bas
public/high-quality-collection.html,High Quality Collection | Te Kete Ako,Te Reo Māori,All Levels,lesson,"High Quality Collection | Te Kete Ako 🏆 High Quality Collection Our finest educational treasures - scored 85+ for excellence 991 Resources Professionally verified for quality, cultural authenticity, and educational impact ⭐ What Makes These Resources High Quality? 📚 Content Excellence Comprehensive coverage Clear learning objectives Engaging activities Authentic assessments 🌿 Cultural Integration Authentic mātauranga Māori Respectful representation Dual knowledge systems Cultural safety 🎯 Pedago"
public/offline.html,Offline - Te Kete Ako,Te Reo Māori,All Levels,lesson,Offline - Te Kete Ako Skip to main content Te Kete Ako 🌐 You're Currently Offline Don't worry! You can still access many Te Kete Ako resources that have been saved locally. 🌿 Cultural Context | Horopaki Ahurea 🏛️ Connection to Mangakōtukutuku College Values Whaiara: Rising Up - Taking action to create positive change whaiara by encouraging students to engage with content in ways that embody this value. Approach Māori content with respect and openness Recognize students' diverse cultural backgrou
public/maori-numeracy-adventures.html,🔢 Māori Numeracy Adventures | Te Kete Ako,Te Reo Māori,All Levels,lesson,"🔢 Māori Numeracy Adventures | Te Kete Ako Te Kete Ako 🦄 Counting Adventures Count objects using traditional Māori counting methods and learn number names in Te Reo Māori 🌿 Learn traditional Māori base-5 counting system 🎨 Cultural Patterns Discover mathematical patterns in traditional Māori art, weaving, and carvings 🌿 Explore geometry in koru, taniko, and tukutuku patterns ➕ Whānau Math Practice addition and subtraction through family and community stories 🌿 Real-world problems using whānau and "
public/activities.html,Do Now Activities | Te Kete Ako,Te Reo Māori,All Levels,lesson,"Do Now Activities | Te Kete Ako Skip to main content Te Kete Ako Today's Whakataukī""Mā te kōrero, ka mōhio; mā te mōhio, ka mārama; mā te mārama, ka mātau; mā te mātau, ka ora.""Through discussion comes awareness; through awareness comes understanding; through understanding comes knowledge; through knowledge comes life.Related ResourcesInteractive GamesMedia Literacy SkillsCritical ThinkingTe Reo Māori BasicsIndividual Lesson PlansActivity Types5-Minute Warm-ups (6)Deep Thinking (6)Discussion Sta"
public/graphrag-query-dashboard.html,GraphRAG Query Dashboard - Te Kete Ako,Science,All Levels,lesson,"GraphRAG Query Dashboard - Te Kete Ako 🔍 GraphRAG Query Dashboard Explore 19,696 resources • 231,257 relationships • AI-powered insights - Total Resources - Relationships - Avg Quality - Cultural Resources ⚡ Quick Queries 🏆 Top Quality 🌺 Cultural Gems 🔗 Super Hubs 📐 Maths 🔬 Science 🌿 Te Ao Māori 🎓 Teaching Variants 📊 Content Gaps 🤖 AI-Powered Query 🚀 Query with GLM AI 📋 Query Results 🕸️ Relationship Network Top connected resources form the knowledge backbone 🔗 Network visualization coming soon.."
public/teacher-dashboard-ai.html,AI Teacher Dashboard | Te Kete Ako,Digital Technologies,Year 7,lesson,"AI Teacher Dashboard | Te Kete Ako Skip to main contentTe Kete Ako🔍 Resource Discovery🤖 AI Assistant📊 Analytics📄 Export Plans 🛠️ AI Teacher Dashboard🌿Cultural Context | Horopaki AhureaWhakataukī""Mā te mōhio ka ora, mā te ora ka mōhio"" ""Through knowledge comes wellbeing, through wellbeing comes knowledge""🏛️ Connection to Mangakōtukutuku College ValuesWhaiora: Wellbeing - Caring for collective health and prosperity whaiara by encouraging students to engage with content in ways that embody this val"
public/curriculum-science.html,Science Curriculum Alignment | Te Kete Ako,Science,All Levels,lesson,"Science Curriculum Alignment | Te Kete Ako Skip to main content Te Kete Ako ← Back to Full Curriculum Science Learning Area - NZ Curriculum Alignment Comprehensive mapping of Te Kete Ako resources to Science achievement standards 🔬 Science Learning Area ""In the science learning area, students develop their understanding of the natural world through inquiry, investigation, and understanding of scientific concepts. Students learn to think scientifically about phenomena and make evidence-based deci"
public/beta-testing-checklist.html,Beta Testing Checklist | Te Kete Ako,Mathematics,All Levels,assessment,"Beta Testing Checklist | Te Kete Ako ✅ Beta Testing Checklist 📅 Week 1: Exploration Phase Sign Up & Login Create your teacher account and successfully log in. Verify role-based dashboard routing works. Test Navigation Click through subject hubs (Math, Science, English, Social Studies). Verify all links work and pages load correctly. Try Search Functionality Search for 3-5 topics relevant to your teaching. Note search speed, relevance, and result quality. Review Lesson Quality Read through 5+ les"
public/teacher-dashboard-unified.html,Teacher Dashboard | Te Kete Ako,Te Reo Māori,All Levels,lesson,"Teacher Dashboard | Te Kete Ako Kia ora, Kaiako! 👋 ""Ko te akoranga te pūtake o te ora"" - Teaching is the foundation of wellbeing ➕ Create New Lesson 📊 Your Teaching Impact Live Data Loading your analytics... 🧠 GraphRAG Intelligence AI-Powered Discovering personalized resources... 🔍 Explore GraphRAG 📈 View Full Analytics ⚡ Quick Actions 📚 Browse Units 📄 Find Handouts 🎮 Educational Games 🎛️ Control Center 📈 Class Engagement Chart.js visualization loading... 🔖 Your Recent Resources View All Loading"
public/year-8-hub.html,Year 8 Hub | Te Kete Ako,Mathematics,Year 8,lesson,"Year 8 Hub | Te Kete Ako Year 8 Learning Hub Deepen your knowledge and build strong foundations ""Kia kaha, kia māia, kia manawanui"" Be strong, be brave, be steadfast — Year 8 is where you build resilience and deepen understanding Year 8 Digital Kaitiakitanga longest, most comprehensive unit: 18 lessons exploring digital citizenship through Te Ao Māori 🌟 Why It's Gold Standard: 385 complete 3-step learning pathways 123 prerequisite connections (0.958 avg confidence!) 100% cultural integration Qua"
public/graphrag-search.html,GraphRAG Semantic Search | Te Kete Ako,Digital Technologies,All Levels,lesson,"GraphRAG Semantic Search | Te Kete Ako 🔍 Semantic Search AI-powered discovery across 19,752 resources 🎯 Advanced Filters Subject: All Subjects 🔬 Science 📐 Mathematics ✍️ English 🌍 Social Studies 💻 Digital Tech 🌿 Te Ao Māori Year Level: All Years Years 7-8 Years 9-10 Years 11-13 Resource Type: All Types 📖 Lessons 📄 Handouts 🎮 Games 📚 Units 📝 Assessments 💡 Search Tips Semantic Search: ""genetics"" finds Genetics, Whakapapa, DNA, Biotechnology Cultural Concepts: Search ""kaitiakitanga"" to find all gua"
public/verify-email.html,Verify Email | Te Kete Ako,Digital Technologies,All Levels,lesson,Verify Email | Te Kete Ako Skip to main content Te Kete Ako 🌿 Cultural Context | Horopaki Ahurea 🏛️ Connection to Mangakōtukutuku College Values Whaiora: Wellbeing - Caring for collective health and prosperity whaiara by encouraging students to engage with content in ways that embody this value. Approach Māori content with respect and openness Recognize students' diverse cultural backgrounds and experiences Create space for Māori students to share their perspectives Consult with whānau and local
public/year-9-hub.html,Year 9 Hub | Te Kete Ako,Science,Year 9,lesson,"Year 9 Hub | Te Kete Ako Year 9 Learning Hub Excellence in action - Your path to mastery ""Whāia te mātauranga hei oranga mō koutou"" Seek after learning for the sake of your wellbeing — Year 9 is where excellence becomes your standard 🏆 Featured Year 9 Units 🌿 Y9 Science: Ecology 6 lessons exploring Aotearoa's living landscapes through kaitiakitanga ⭐ Q90 🌿 100% Cultural 🔷 Y9 Maths: Geometry & Patterns 8 lessons exploring transformations through tukutuku and Māori patterns ⭐ Q92 🌿 Cultural Patter"
public/graphrag-hub.html,GraphRAG Intelligence Hub | Te Kete Ako,Mathematics,All Levels,lesson,"GraphRAG Intelligence Hub | Te Kete Ako Open Pathway Explorer ""Waiho i te toipoto, kaua i te toiroa"" Let us keep close together, not far apart — GraphRAG connects our scattered knowledge into wisdom 🧠🔗✨ GraphRAG Intelligence Hub Real-Time GraphRAG Statistics 19,737 Resources Analyzed 231,469 AI-Discovered Connections 5,062 Cultural Relationships 1,200+ Cross-Curricular Links Explore GraphRAG Features 🌐 Interactive Knowledge Graph NEW! D3.js force-directed visualization showing 231,469 relationsh"
public/living-whakapapa.html,Living Whakapapa Project | Te Kete Ako,English,All Levels,lesson,"Living Whakapapa Project | Te Kete Ako Skip to main content Te Kete Ako Agent Coordination Teacher Agent Deployment Principal Supervision MCP Coordination Implementation Phases Whakapapa Concepts Whakapapa: Genealogical connections Whenua: Land, placenta, connection Whānau: Extended family Hapū: Sub-tribe, community Iwi: Tribal grouping Tangata whenua: People of the land Living Whakapapa Project Revolutionary Multimedia Connection Mapping System Dynamic exploration of personal, cultural, and env"
public/my-submissions.html,My Submissions | Te Kete Ako,Te Reo Māori,Year 8,lesson,My Submissions | Te Kete Ako Skip to main content Te Kete Ako 📤 My Project Submissions Track your learning journey and feedback from kaiako 🌿 Cultural Context | Horopaki Ahurea 🏛️ Connection to Mangakōtukutuku College Values Whaiara: Rising Up - Taking action to create positive change whaiara by encouraging students to engage with content in ways that embody this value. Approach Māori content with respect and openness Recognize students' diverse cultural backgrounds and experiences Create space 
public/ai-hub.html,AI Hub | Te Kete Ako,Digital Technologies,All Levels,lesson,"AI Hub | Te Kete Ako ""Mā te huruhuru ka rere te manu"" With feathers a bird can fly - technology empowers learning when used with wisdom Skip to main content Te Kete Ako AI Hub Access AI-powered tools and teaching assistants. 🌿 Cultural Context | Horopaki Ahurea Whakataukī ""Mā te mōhio ka ora, mā te ora ka mōhio"" ""Through knowledge comes wellbeing, through wellbeing comes knowledge"" 🏛️ Connection to Mangakōtukutuku College Values Whaiara: Rising Up - Taking action to create positive change whaiar"
public/agent-intelligence-dashboard.html,🧠 Agent Intelligence Dashboard | Real-Time Coordination | Te Kete Ako,Digital Technologies,All Levels,lesson,🧠 Agent Intelligence Dashboard | Real-Time Coordination | Te Kete Ako 🧠 Agent Intelligence Dashboard Real-Time Situational Awareness for AI Agents LIVE DATA ... Total Resources ... Relationships ... Active Agents ... Knowledge Entries 👥 Active Agents LIVE Loading active agents... 📋 Claimed Tasks LIVE Loading claimed tasks... 💡 Recent Discoveries LAST 7 DAYS Loading discoveries... 🎯 Strategic TODOs AVAILABLE Loading strategic TODOs... 💎 Orphaned Gems NEED HELP Finding orphaned excellence... 📈 Rel
public/my-assignments.html,My Assignments | Te Kete Ako,Digital Technologies,All Levels,lesson,"My Assignments | Te Kete Ako ""Whāia te iti kahurangi"" Seek the treasure of knowledge — Complete your assignments to unlock understanding 📚 My Assignments View and complete assignments from your teachers ⏳ Loading your assignments..."
public/graphrag-ai-recommendations.html,AI Recommendations | GraphRAG | Te Kete Ako,Digital Technologies,Year 7,lesson,AI Recommendations | GraphRAG | Te Kete Ako 🤖 AI-POWERED BY GRAPHRAG Smart Recommendations 🎯 What Are You Looking For? Subject Area: All Subjects Science English Mathematics Digital Technologies Social Studies Te Ao Māori Cross-curricular Year Level: All Levels Year 7 Year 8 Year 9 Year 10 Year 11 Year 12 Year 13 Cultural Integration: Cultural Context 🌿 Whakataukī 🗣️ Te Reo Quality Threshold: 70 85 100 🤖 Get AI Recommendations 👆 Set your preferences above to get personalized recommendations 🧠 Ho
public/digital-technologies-hub.html,Digital Technologies Hub | Te Kete Ako,Digital Technologies,All Levels,lesson,Digital Technologies Hub | Te Kete Ako
public/help.html,Help & FAQ | Te Kete Ako,Te Reo Māori,All Levels,lesson,"Help & FAQ | Te Kete Ako 💡 Help & Support Everything you need to know about using Te Kete Ako 🚀 Getting Started New to Te Kete Ako? 👨‍🏫 For Teachers Teaching resources guide 📚 For Students Learning pathway help ✉️ Contact Us Get in touch 🚀 Getting Started Q: What is Te Kete Ako? Te Kete Ako (""The Basket of Knowledge"") is a comprehensive educational platform with 13,772 resources for Years 7-13, integrating mātauranga Māori with contemporary learning. All resources are free and aligned with the N"
public/knowledge-graph.html,Knowledge Graph Explorer | Te Kete Ako (Updated Oct 19 2025),English,All Levels,lesson,"Knowledge Graph Explorer | Te Kete Ako (Updated Oct 19 2025) ""Nāu te rourou, nāku te rourou, ka ora ai te iwi"" With your food basket and my food basket, the people will thrive — Collaboration enriches all 🧠 Knowledge Graph Explorer 232,263 Relationships (+581 today!) 19,771 Resources 13,154 Unit-Lesson Links (95% confidence) 1,616 Max Connections (Adaptive Pathways) Relationship Types Same Year Level (56,000) Same Subject (46,752) Related Content (30,217) Unit Contains (12,842) Cultural Links (5"
public/agent-dashboard.html,🤖 Agent Dashboard - GraphRAG Intelligence,Science,All Levels,lesson,"🤖 Agent Dashboard - GraphRAG Intelligence 🤖 Agent Dashboard GraphRAG-Powered Agent Coordination & Intelligence 5,269 Total Resources 5 Agent Rules 4 Dev Patterns 3 Active Issues 4 Session Learnings 🔍 Query Agent Knowledge Use SQL or quick queries to explore agent coordination intelligence Quick Queries: 📋 All Agent Rules 🛠️ Development Patterns 🐛 Active Issues 💡 Session Learnings 🌐 All Agent Data SELECT * FROM graphrag_resources WHERE file_path LIKE '_agent_rules/%'; Execute Query Results: 📋 Age"
public/resource-connections.html,Resource Connections | Te Kete Ako,Digital Technologies,All Levels,lesson,"Resource Connections | Te Kete Ako Skip to main content Te Kete Ako Home > Resource Connections 🧠 Discover Resource Connections Our AI-powered GraphRAG system has mapped the deep relationships between all platform resources. Discover how your teaching content connects to create meaningful learning journeys. 🌿 Cultural Context | Horopaki Ahurea Whakataukī ""Mā te mōhio ka ora, mā te ora ka mōhio"" ""Through knowledge comes wellbeing, through wellbeing comes knowledge"" 🏛️ Connection to Mangakōtukutuk"
public/test-glm-integration.html,GLM Integration Test - Te Kete Ako,Science,All Levels,assessment,GLM Integration Test - Te Kete Ako 🤖 GLM-GraphRAG Integration Test AI-Powered Educational Intelligence System Status 🎯 AI-Enhanced Recommendations Get AI-Enhanced Recommendations ✨ AI Content Generation Generate Lesson Content 🌺 AI Cultural Enhancement Enhance Resource with Te Ao Māori 📊 AI Gap Analysis Analyze Content Gaps
public/learning-pathways.html,Learning Pathways | Te Kete Ako,Mathematics,Year 7,lesson,"Learning Pathways | Te Kete Ako 🛤️ Learning Pathways Discover how knowledge builds across 231,469 semantic connections 231,469 Relationships Mapped 220+ Pathway Types 📋 MOE Framework: Daily 1-Hour Structure Ministry of Education recommended daily structure for Years 7-8 📖 Reading (1 hour daily) Comprehension, fluency, vocabulary 187 Resources ✍️ Writing (1 hour daily) Composition, mechanics, expression 935 Resources (Writers Toolkit!) 🔢 Mathematics (1 hour daily) Number, algebra, geometry, stati"
public/te-ao-maori-hub.html,Te Ao Māori Hub | Te Kete Ako,Te Reo Māori,All Levels,lesson,"Te Ao Māori Hub | Te Kete Ako ""Ko te ahurei o te Ao Māori, ko te mana motuhake"" The uniqueness of the Māori world is its sovereignty and distinctiveness 🌏 Te Ao Māori Hub Māori worldview, mātauranga, and cultural frameworks 📊 67+ resources | 100% cultural excellence | Integrated across all subjects Tīmata ki konei · Start here Two foundational entry points for Te Ao Māori. 🌏 8-Lesson Unit 🧠 Cultural Concepts Te Ao Māori Complete Unit (Years 7-9) Comprehensive 8-lesson unit covering Māori worldvi"
public/health-pe-hub.html,Health & Physical Education Hub | Te Kete Ako,Health & Pe,All Levels,lesson,"Health & Physical Education Hub | Te Kete Ako ""Te taha tinana, te taha hinengaro, te taha whānau, te taha wairua"" Physical, mental, social, and spiritual wellbeing - the four pillars of hauora 🏃‍♀️ Health & Physical Education Hub Hauora - Holistic wellbeing through Te Whare Tapa Whā framework Loading resources... 🌿 Cultural Integration Start here Two quick ways to begin teaching Health & PE with cultural excellence. 🏠 Teach Hauora Unit ✨ Explore H&PE Resources 💎 Hidden Gems (Q90+) 🏠 Te Whare Tap"
public/super-connected-resources.html,Super-Connected Resources | GraphRAG Intelligence | Te Kete Ako,Health & Pe,All Levels,lesson,"Super-Connected Resources | GraphRAG Intelligence | Te Kete Ako 🧠 GRAPHRAG NETWORK ANALYSIS 🏆 Super-Connected Resources The network hubs of Te Kete Ako's knowledge graph 600 Max Connections 15 Super Resources 50+ Min Connections #1 Most Connected Resource 🔥 600 CONNECTIONS 📚 Unit Plans Hub The ultimate navigation hub connecting to every major unit across Mathematics, Science, English, Social Studies, and Te Reo Māori. Why it's the champion: This page serves as the central hub for ALL unit plans,"
public/cross-subject-discovery.html,Cross-Subject Discovery | GraphRAG Intelligence | Te Kete Ako,Digital Technologies,All Levels,lesson,"Cross-Subject Discovery | GraphRAG Intelligence | Te Kete Ako 🧠 GRAPHRAG INTELLIGENCE Cross-Subject Discovery Explore thousands of cross-curricular connections automatically discovered by our knowledge graph 1,332 Science→Math 632 Math→Science 433 Digital→Science 407 English→Math 🔍 Explore Cross-Curricular Pathways From Subject: All Subjects 🔬 Science 📐 Mathematics 📝 English 💻 Digital Technologies 🏛️ Social Studies To Subject: All Subjects 🔬 Science 📐 Mathematics 📝 English 💻 Digital Technologies"
public/other-resources.html,Other Resources | Te Kete Ako,Digital Technologies,Year 7,lesson,"Other Resources | Te Kete Ako Skip to main content Te Kete Ako Today's Whakataukī ""Poipoia te kakano kia puawai."" Nurture the seed and it will blossom. Related Resources Design Thinking Digital Citizenship Complete Unit Examples Resource Categories Assessment Tools (7) Learning Projects (1) Templates (5) External Links (8) Digital Tools (4) 🧠 Other Resources Additional educational resources powered by Project Kete Aronui GraphRAG intelligence. Assessment tools, templates, and platforms discovera"
public/forgot-password.html,Forgot Password | Te Kete Ako,Digital Technologies,All Levels,lesson,Forgot Password | Te Kete Ako Te Kete Ako Reset Password Enter your email address below and we'll send you a link to reset your password. Email Address: Send Reset Link Back to Login
public/test-intelligence-system.html,Intelligence System Test - Te Kete Ako,Health & Pe,All Levels,assessment,Intelligence System Test - Te Kete Ako 🧠 Intelligence System Test Dashboard Testing GraphRAG Self-Evolution & Agent Coordination System Health ⏳ Loading System Health... 🔍 Check Health - System Principles - Dev Patterns - Agent Rules - Legacy Patterns Agent Coordination Test ⏳ Ready to test agent actions... 🚫 Test MD Prohibition 🔍 Test Legacy Pattern Check 🎯 Test Existing Pattern Check Smart Recommendations Test ⏳ Ready to get recommendations... 📚 Get Lesson Recommendations 🌺 Get Cultural Recomm
public/browse-by-concept.html,Browse by Concept | Te Kete Ako,Te Reo Māori,Year 8,lesson,Browse by Concept | Te Kete Ako Te Kete Ako 🧠 Browse by Concept GraphRAG-powered intelligent navigation through 467 resources 🌿 Cultural Concepts (112 High Cultural Resources) 11 resources 11 resources 12 resources 36 resources 19 resources 11 resources 🌿 Cultural Context | Horopaki Ahurea 🏛️ Connection to Mangakōtukutuku College Values Whaiara: Rising Up - Taking action to create positive change whaiara by encouraging students to engage with content in ways that embody this value. Approach Māor
public/integrated-lessons-index.html,Integrated Lessons Library | Te Kete Ako,English,All Levels,lesson,"Integrated Lessons Library | Te Kete Ako 📚 Integrated Lessons Library 377 Complete Professional Lesson Plans 122 Science Lessons 105 Mathematics Lessons 86 Te Reo Māori Lessons 40 English Lessons 24 Social Studies & More Browse by Subject 🔬 Science Lessons (122) Complete lessons covering ecology, genetics, physics, chemistry, and environmental science — all integrated with mātauranga Māori perspectives and kaitiakitanga principles. Topics: Ecosystems, biodiversity, whakapapa & genetics, rongoā s"
public/about.html,About Te Kete Ako | Educational Resources Platform,Digital Technologies,All Levels,lesson,"About Te Kete Ako | Educational Resources Platform ""Nāu te rourou, nāku te rourou, ka ora ai te iwi"" With your food basket and my food basket, the people will thrive — Together we build knowledge Te Kete Ako About Te Kete Ako ""Whaowhia te kete mātauranga"" Fill the basket of knowledge 🌿 Cultural Context | Horopaki Ahurea Whakataukī ""Mā te mōhio ka ora, mā te ora ka mōhio"" ""Through knowledge comes wellbeing, through wellbeing comes knowledge"" 🏛️ Connection to Mangakōtukutuku College Values Whaiman"
